City_ID,City Name,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temp,Wind Speed
0,Polunochnoye,RU,1587347148,60.87,60.42,0,73,36.9,4.27
1,Cape Town,ZA,1587347029,-33.93,18.42,75,82,62.01,18.34
2,Hilo,US,1587346950,19.73,-155.09,1,51,80.6,12.75
3,Bam,IR,1587347150,29.11,58.36,100,33,70.43,2.37
4,Atuona,PF,1587347150,-9.8,-139.03,45,75,82.72,12.82
5,Abapo,BO,1587346999,-18.83,-63.47,0,50,62.35,3.4
6,Yellowknife,CA,1587346891,62.46,-114.35,40,58,24.8,21.92
7,Coos Bay,US,1587346939,43.37,-124.22,1,66,55.4,10.29
8,Hermanus,ZA,1587346906,-34.42,19.23,9,95,61,12.01
9,Saint Anthony,US,1587346980,45.02,-93.22,1,31,46.99,8.05
10,Kattivakkam,IN,1587347151,13.22,80.32,40,83,84,2.24
11,Monselice,IT,1587347151,45.24,11.75,100,81,59,5.99
12,Batemans Bay,AU,1587347151,-35.72,150.18,100,54,64.99,13.65
13,Fairbanks,US,1587347033,64.84,-147.72,90,81,48,3.36
14,Narsaq,GL,1587346999,60.92,-46.05,1,41,24.8,6.93
15,Zhaotong,CN,1587347152,27.32,103.72,82,40,60.01,2.89
16,Pevek,RU,1587347152,69.7,170.31,100,94,12.63,7.56
17,San Quintin,MX,1587347073,30.48,-115.95,79,74,59.58,18.79
18,Chala,TZ,1587347152,-7.58,31.27,75,93,60.8,4.7
19,New Norfolk,AU,1587347153,-42.78,147.06,98,87,62.01,9.69
20,Vardo,NO,1587346571,70.37,31.11,100,89,39.24,25.08
21,Hobart,AU,1587347056,-42.88,147.33,75,71,62.01,11.41
22,Busselton,AU,1587346949,-33.65,115.33,95,42,69.01,22.88
23,Airai,TL,1587347153,-8.93,125.41,32,43,72.95,3.47
24,Plettenberg Bay,ZA,1587347153,-34.05,23.37,0,66,64.63,2.33
25,Bambous Virieux,MU,1587346557,-20.34,57.76,75,83,77,12.75
26,Barrow,US,1587347105,71.29,-156.79,90,78,12.2,5.82
27,Bredasdorp,ZA,1587346554,-34.53,20.04,0,93,52,8.05
28,San Luis,AR,1587347020,-33.3,-66.34,0,48,62.47,4.92
29,Lodja,CD,1587347154,-3.48,23.43,100,84,68.76,3.56
30,Kapaa,US,1587347154,22.08,-159.32,1,69,80.6,10.29
31,Svetlogorsk,BY,1587347154,52.63,29.73,0,96,30.7,8.34
32,Johnstown,US,1587346904,40.33,-78.92,90,75,50,10.29
33,Hithadhoo,MV,1587347155,-0.6,73.08,100,76,84.88,11.5
34,Ginda,IN,1587347155,30.69,78.49,22,17,62.49,1.43
35,Ponta Do Sol,PT,1587346556,32.67,-17.1,9,69,60.01,8.01
36,Port Alfred,ZA,1587347155,-33.59,26.89,0,68,69.01,4
37,Kutum,SD,1587347057,14.2,24.67,100,19,61.48,4.03
38,Aitape,PG,1587347155,-3.14,142.35,100,74,84.51,3.2
39,Takoradi,GH,1587346586,4.88,-1.76,100,81,81.05,7.11
40,Quelimane,MZ,1587347063,-17.88,36.89,16,93,71.83,6.08
41,Hambantota,LK,1587346579,6.12,81.12,20,100,77,3.36
42,Zhangjiakou,CN,1587347156,40.81,114.88,0,33,41.59,32.59
43,Rikitea,PF,1587347156,-23.12,-134.97,93,71,76.84,6.76
44,Faya,SA,1587347013,18.39,42.45,98,59,66.2,4.07
45,Belaya Gora,RU,1587347001,68.53,146.42,84,92,16.54,9.48
46,Mocuba,MZ,1587347005,-16.84,36.99,51,94,68.13,5.14
47,Atasu,KZ,1587347004,48.68,71.64,76,33,63.03,7.2
48,Faanui,PF,1587347157,-16.48,-151.75,81,77,82.24,19.19
49,Mataura,NZ,1587347157,-46.19,168.86,90,60,57.99,7
