City_ID,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temp,Wind Speed
0,US,1584253482,30.37,-88.56,90,93,68.0,2.35
1,RU,1584253623,52.2,117.55,0,68,28.71,7.34
2,AU,1584253623,-33.65,115.33,14,46,81.0,15.43
3,GL,1584253412,65.61,-37.64,41,64,-0.4,3.36
4,US,1584253521,42.1,-79.24,90,92,33.8,6.93
5,AU,1584253623,-12.23,136.77,30,31,91.4,11.41
6,AU,1584253623,-42.78,147.06,20,59,63.0,14.99
7,BR,1584253623,-14.1,-46.63,100,94,67.78,1.19
8,TO,1584253624,-21.2,-175.2,75,88,82.4,6.93
9,CL,1584253416,-53.15,-70.92,99,67,57.2,34.45
10,RU,1584253456,71.69,128.87,60,78,-10.8,6.53
11,NE,1584253624,18.69,12.92,7,21,61.07,2.86
12,US,1584253624,47.11,-104.71,90,92,28.0,9.17
13,US,1584253383,42.6,-73.97,90,64,37.99,11.41
14,PG,1584253624,-2.02,147.27,94,70,85.55,9.84
15,US,1584253434,41.37,-73.41,90,51,44.01,8.05
16,JP,1584253625,28.37,129.48,40,42,62.6,17.22
17,GE,1584253625,41.96,42.96,90,93,50.0,3.36
18,AU,1584253625,-42.88,147.33,20,59,63.0,14.99
19,US,1584253625,22.08,-159.32,75,69,73.4,10.29
20,MU,1584253625,-20.34,57.76,40,78,84.0,6.93
21,CA,1584253626,50.63,-96.99,85,81,8.01,5.01
22,UY,1584253626,-34.48,-54.33,87,88,61.81,6.4
23,NZ,1584253437,-46.6,168.33,100,84,60.01,11.01
24,US,1584253626,71.29,-156.79,1,70,-0.4,16.11
25,PF,1584253626,-23.12,-134.97,3,71,78.84,9.75
26,MM,1584253626,20.43,96.15,28,13,102.81,10.38
27,NA,1584253626,-24.13,19.12,0,18,72.12,1.81
28,IN,1584253627,34.17,77.58,86,50,15.03,3.51
29,US,1584253627,37.27,-87.18,90,100,39.99,5.82
30,ZA,1584253627,-33.59,26.89,81,87,69.01,5.01
31,GL,1584253425,60.92,-46.05,100,67,19.4,2.24
32,KE,1584253627,0.11,35.18,40,73,77.0,3.36
33,NZ,1584253627,-44.7,169.15,96,37,68.0,8.01
34,PE,1584253465,-10.07,-78.15,100,74,72.82,2.26
35,NZ,1584253628,-45.87,170.5,100,88,59.0,3.0
36,AI,1584253361,18.22,-63.06,75,83,75.2,9.17
37,IN,1584253628,20.71,70.98,63,51,78.4,21.21
38,CL,1584253628,-35.33,-72.42,0,60,54.64,5.68
39,CN,1584253628,42.12,118.78,0,16,34.81,22.7
40,SD,1584253629,13.52,35.77,94,24,77.88,11.88
41,TL,1584253629,-8.93,125.41,70,66,77.81,6.02
42,ZA,1584253497,-33.02,27.91,75,82,68.0,16.11
43,GL,1584253629,72.79,-56.15,91,99,-16.76,4.7
44,CN,1584253610,40.81,111.65,0,16,53.6,15.66
45,AR,1584253629,-54.8,-68.3,40,66,53.6,5.66
46,RU,1584253630,70.63,147.92,20,85,-17.72,2.84
47,KI,1584253413,3.07,172.79,19,76,84.04,13.22
48,ZA,1584253473,-33.01,17.94,12,77,60.8,13.87
49,ID,1584253630,-6.88,112.21,57,66,87.96,3.51
50,BR,1584253422,-30.18,-50.21,0,88,75.58,17.67
51,US,1584253630,33.19,-82.53,1,87,64.4,5.82
52,SO,1584253456,9.49,50.81,83,75,79.45,9.82
53,VE,1584253631,10.16,-68.57,15,94,64.02,5.66
54,PF,1584253406,-9.8,-139.03,15,67,82.53,8.25
55,RU,1584253631,69.7,170.31,84,69,12.24,17.36
56,MY,1584253585,5.41,100.34,40,63,95.0,10.29
57,MR,1584253631,20.52,-13.05,0,14,65.32,7.02
58,NZ,1584253413,-46.19,168.86,100,84,60.01,11.01
59,GY,1584253632,6.4,-58.62,40,94,75.2,4.7
60,MV,1584253632,5.67,73.0,4,72,83.8,11.39
61,PY,1584253632,-21.04,-57.87,14,54,78.73,4.92
62,US,1584253447,34.42,-119.7,75,87,55.4,11.41
63,PE,1584253458,-13.7,-76.22,40,83,71.6,9.17
64,US,1584253633,44.53,-109.06,90,85,26.01,14.99
65,RU,1584253434,68.75,161.3,100,93,8.94,9.86
66,ZA,1584253633,-34.53,20.04,99,88,62.6,4.7
67,ZA,1584253633,-34.42,19.23,100,94,64.0,15.17
68,US,1584253633,64.5,-165.41,100,97,30.0,11.36
69,US,1584253537,39.18,-84.53,90,92,36.0,8.05
70,AO,1584253634,-15.2,12.15,66,77,76.39,2.57
71,CA,1584253418,49.78,-74.85,90,78,10.4,17.22
72,SO,1584253634,9.41,45.06,0,61,72.09,9.82
73,ZA,1584253403,-33.92,25.57,40,88,68.0,17.22
74,US,1584253402,19.73,-155.09,90,83,75.2,3.29
75,BR,1584253634,-6.09,-35.21,75,100,77.0,4.7
